,body
201,"Not user friendly, Frequently loose WiFi connection and Need long procedure and multiple steps to connect again.Secondly, I have raised complaints and ask for replacement. Amazon has registered complain and inform that pickup will be done within two days but nobody came and after two week removed my replacement request as well on Amazon site. It is my very bad experience with this product and amazon. I request Amazon should stop this product if unable to provide services."
202,"I have been using Alexa Echo Dot from last one week.My house has a very good wifi connection but Alexa always has trouble connecting to the Internet.It understands what I say but never play songs. Most of the time, it does not understand clear English words as well.Alexa app shows the song, but Alexa does not understand the same keywords to play a song.Overall, I would not suggest the product at all. Do not waste your money on such useless product that most of time won't play music for you for which it is purchased."
203,"The media could not be loaded.
                



 Product is good but have some problem to recognize the instructions and not able to play the desired songs."
204,I bought  eco 3rd generation for just  rupees  2499 on 15days bk. I returned  product  after  too days it's working  sometimes only always  we need to go for reset  mode and connect it. I don't  understand  such a non compatible  product why amazon incresing  price day by day. It's a local China  product  .they need to increase quality
205,"Worth the money. Could work better on voice recognition. Otherwise pretty decent.Sound quality is better than what I had expected.Overall, Alexa is a better option than Google home."
206,"One has to keep it on for 24hrs. I know why you want to keep, because every time you are feeding alexa with the data. Remember folks, it can also be spy, which is recording your voice.If it get off, u have to again resetup, which is quite tedious and boredom approach.It should be wireless."
207,I bought first Alexa 3500 work preety well but after few days I saw same item in amazon from same seller cloud tail in 2399 why there is big price difference. That mean this product doesn't value 3500So stop fooling customer.
208,"It is unstable machine, even if you configure it to give same results, it stop providing the same routine .Cheap R&D...Better go with other IOT options"
209,"She's family member now. Great way to keep kids talking to her and yet away from sceen. being working parents we don't get much time to keep talking to kids, but now they have someone to answer all the time. I now  never forget taking calcium after setting reminder. Worth buying"
210,Not even  60% fit for south Indians even  after adding tamil skills..most of the tamil or telegu songs it is unable to understand. Best options for training kids with english rhymes or songs.
211,"This is must buy product for those who loves music , has a busy schedule and live alone. I think ur heart don't need anyone if alexa is present with u.It's useful for every age groups. It understands hindi language very accurately nd this is the most lovable thing about alexa. It has a lot of qualities butI'm mentioning only cons depending upon situations:U need a broadband connection or any wifi device to fully utilize the features because it listen to u only when internet worksNd the second thing is 24hour power supply because there is no battery inside it.That's the only reason I returned it.Go for it n I'm sure you'll love it😊😍"
212,"Bought it during Diwali Sale for Rs. 2449/- and Wipro Smart Bulb for Rs. 99/-... And to be honest, it is an amazing device which makes ur life easy!!!Though ""Google Home"" gives satisfactory answers than ""Echo Dot"" for the questions  which are asked, but the Sound Quality that ""Echo Dot"" offers is just AMAZING...If u are confused about which one to buy, i.e, ""Google Home Mini"" or ""Echo Dot"", then I would suggest for Echo dot because of its overall performance...And coming to the Smart Bulb, I would say that, it is kinda a good product which u can get at a low price..."
213,HiI don't know where to start. Since day 1 there is issue in configuring wifi. The steps not helping. Alexa support is horrible. Seems they don't care. I don't know what to do with this alexa. Use as a 2300 INR speaker ?
214,"Only question it answered was what's the weather today?"" that was after setup.for every question it keeps saying ""sorry, I am having trouble understanding right now. Please try a little later.""It has been 10 days. I have changed rooms, distance from wall, furniture, questions, tone, every thing.Nothing works!"
215,"Awesome product.Interaction: 5/5Sound quality: 5/5Size:5/5It’s great it works like Bluetooth speaker when wifi not available, but it’s not. :( this made some disappointment.But overall impressive product."
216,Not at all worthy. Wastage of money. Performance is not good. And Amazon is not cooperating for return. I got the exchange product today but as usual the set up button is so uncomfortable and its painful to press it for a longer time. And the sound quality is so pathetic that music doesn't seems to melodies. It feels like a non branded local speaker. As usual the wrist product from Amazon. Really unexpected from a Amazon. Very disappointing and Amazon team is not even ready to give my money back.
217,"Amazon Echo Dot (3rd Gen) is the best in terms of hardware. Amazing sound quality with proper balance between base, mids and treble. And yes you can configure too in the Alexa app if you’d like.Next, is the build quality. It is really good and feels firm. Bluetooth and wi-fi connectivity is awesome. Best part is I can connect it to my phone & laptop and use it as an external speaker.The only downside for me is Alexa. She needs a lot of improvement in terms of knowledge. Basic things are carried out pretty well like reminders, alarms, music, etc. however, when it comes to answering questions she fails most of the time.Tip: Keep adding skills in the Alexa app for improvement."
218,Waste product as it doesn't come with a baterry so it needs always a plug point to be connected. Basically it can be used only in home and not outdoor. In today's portable live this is a waste of purchase and doesn't solve any purpose without portability
219,"The Alexa voice assistant will never understand the commands you say. Don’t ever buy this the only reason it is promoted here is because of Amazon. I have a Google home as well, and looking at how well it performs at the same tasks. This here is Jeff Bezos turd. My review is applicable for all Alexa devices."
220,"Amazon Echo 3rd Gen is really a good personal assistant and it's price worth.It's features1. Easy to connect from your android phone.2. Easy to play songs, listen news, Headlines, weekly news, sports news and many more.3. Able to answer basics questions easily but sometimes it's not able to search on Google and it will then reply by saying "" o don't know that.4. Good sound quality ( really good Bass )5. At the price of 2000 INR.  It's a good speaker as comparison to others. So don't wait more thinking to buy or not. Just order it and enjoy the Amazon Alexa.6. One thing should be needed is that it's connectivity from Google or any other sear h engine. So that it can search over that and can find easly the answer of any question ask by the user.7. And also need to improve some security features over securing users data and some sound detection mechanism.8. Overall it's a good speaker along with a good personal assistant."
221,"Happy customer. Sound quality and voice command is amazingly good. But one thing you must ensure that if you need best experience, better opt for Amazon Prime subscription first. Coz it will sure work with other music apps, but you will not get the great collection of Amazon Music."
222,"Extremely awesome and well integrated device. I watched a lot of videos claiming that google home is much better in software and search related tasks. But seriously saying you can go for it without a second thought. I didn't found any trouble with search related tasks however continued conversation is a bit limited but rest everything is just awesome. And a HIGHLIGHTED POINT ""GOOGLE CAN'T BEAT THE SKILLS AND EASY OF USE OF ALEXA"". Alexa comes with thousands of skills and fun games and much more....."
223,What I hate is it skips songs from a playlist.I have saved  Sundarkand which has 4 parts in Amazon music.Alexa skips part  2 or 3 and plays the next one.This has happened 4-5 times.I have written to alexa help center but no response on this.I have gone back to mobile app .
224,I like the sound clarity with Alexa interaction but Alexa most of the things and questions didn't identify and she is not known about the questions. That is the minus point here. I saw Google Assistant is better than the Alexa because Google can make the call to your contacts but Alexa is only for those people who installed the Alexa Application on their phone.
225,It in an amazing deviceThe user interface is so extraordinaryAlthough it takes time to understand and respond and only has data according to amazon however it ia fun and interactive even kids love it and it does make works easy if you have alexa enabled device at your place.A must have gadget for your home or workplace!!!!
226,Amazing! This product is just amazing. You just have to say Alexa no matters how much loud background is it picks up your voice. And sound quality of Alexa is the best. Even hindi can be used very well. It is just like a physically person talking to you.
227,Echo was good with superb sound bought along with wipro smart bulb... both are working as I expect... but echo has to improve skills rather than entertainment....most of the time i ended with not getting as I want.... mainly after query echo has to repeat the query and then it follows... but no need to repeat the query...... makes user more comfortable
228,Product is good.Sound quality is soft. I bought two and plays it in synchronised. That is amazing it feels like just one is played at two different angle.Alexa assistance is too good. You can read books from kindle. You can play books from audible aur suno audible just by audio command. Worthy of price but I sti6 suggest to buy in sell you will get good discount.
229,"Playing music, knowing about weather or latest news, setting reminders etc have never been easier. My kid is a big Alexa fan and keeps interacting with the echo dot. Clearly it's very easy to use. Though, it was a bit difficult to connect with the OnePlus TV. Some basic TV functions can be performed but there is lot more required. The next generation devices will probably have more advance features."
230,"It is very Portable Device we can't take it anywhere with us but the place where we keep, it take less space. Voice recognition is Better will play a song it recognition the Voice proper. Now coming to the Integration or its intelligences or AI it is Good, Skills are good, there can be More Skill which can make it best like play Music from YouTube this skill must be there. Over all my experience is good with Alexa."
231,"My expectations was very high when I bought Alexa Eco dot speaker.When I Say play song “gulabi ankhe ho teri Dekhi” it doesn’t understand and plays different song.Sometimes I have to shout on Alexa while giving the command to Alexa for playing song,bcz of software issue it does not listen in a one time.I am really fed up with Alexa speaker and I do not use it.Amazon I did not expect from you😡"
232,"I was looking for a Bluetooth speaker with a quality speaker. My options was a Sony speaker with cost nearly 3500 and Echo.As I was a prime member at great India festival the Echo came for 2000, and u decided to buy it. The speaker arrived.On my opinion1. Sound quality is really mind blowing, I was amazed by see the sound quality for this small speaker. Really impressive !!!2. Voice recognition is super due to its 4 microphone.3. Allen’s is really friendly and easy to useTo see a detailed review you can check my YouTube channel-“ 3 MAC “.This product is small cute and beautiful.The LED light very helpful in many way. Eg to see the voice level."
233,Simply the worseee device when it comes to connecting to internet....in the world where every things seems to pull off  easily with the help of internet ..trust me instead of making things easier for you alexa devices especially amazon echo dot makes things ostentatiously difficult for you ....a sheer wastage of time.... stay away from it
234,Product is good but the pricing is quite tricky. i purchased @ 3500 for fathers day special offer and the next day you put it up for 2799.So fathers day special price was higher than normal.
235,Very easy to connect with the phone. Easy to use.you can even make calls to connected devices and make announcements which is so cool. The plug can be connected to fairy light.
236,it can be used in car; need to buy one 12v adapterSparkel 12V Car Cigarette Lighter Power Connection Cigaret Socket Male Adapterthen fix one DC Plug pin 4.0 x 1.7 mm to this (usual size DC pin size is 5.5 x 2.1 mm)
237,"An absolutely house hold item at a fair price. Its intuitive, speech recognition is superb we use it for hindi and english and sometimes ‘Hinglish’ also :-), a big thanks to the Amazon team. Even while its placed in Drawing room and we call Alexa from bedroom, it has all the ears to us and plays our favourite songs flawlessly. Overall a best fit and a must have. I guess, more than 10 guests who visited us have purchased it on their own after enjoying its performance. Must buy!"
238,"Maybe I was unlucky as Alexa at times didn’t respond to voice commands. We have jiofiber at home with speeds upto 150 mbps, given the internet speeds Alexa should not have problems with responding to voice commands. Returned the product and was disappointed, could be one of defective product."
239,"It doesn't recognize your voice from a distance, when it's already playing a song. U need to go near always. At times we need to keep repeating our commands again and again. Else all good."
240,I know people make a really productive of use of alexa but it really isnt useful if youre just wanting to get it for entertainment purposes as the speaker quality isnt that great if youre planning to listen to music and it overalls gets booring after a while and would lie unplugged in a corner of a room.
241,It is useless for without activation you will not to listen the song if you not subscribe after one month. You will never to play songs through mobile Bluetooth. But I bought it for 2000 rupees in the sale.Not one wifi enough for connecting the Alexa but you need connecting mobile through WiFi.
242,"I own an Echo Plus, and now I've added the Echo Dot to my living room. It makes life so much easier, since I live in a Bungalow, with my family on the ground floor and me on the first. Dropping in to say something, or have a distant conversation without yelling becomes so much more easier. It's a blessing."
243,"Now having used Amazon's Echo products for over 6 months, I sincerely feel that it's becoming increasingly difficult to survive without it in my day-to-day life. Awesome product by Amazon. Kudos to this phenomenal creation."
244,"Alexa echo dot with with wipro smart bulb very good combo offer which I got. Every one should experience the next generation intelligence from Alexa. Smart way of controlling the musiq, sound, lights. My kids loved this asking so many questions and Alexa gives answers."
245,It is a good product at this price but has major limitation of being wired connection. It takes 30-40 secs to start again and anything you want to listen you have to add in ur app which is a time consuming activity.  But overall i took it for my 2 yr kid to distract him from mobile phones and it is helping me in that 😊😊 he enjoys dance well on the tunes now 👍👍
246,"The media could not be loaded.
                



 Very good but can be improved."
247,"I found this useless, we have to connect it with phone which is difficult process.We have smart phone which does all the things. normal speaker can be more usefull than this."
248,When you already have google assisatant voice recognition shouldn't be much of a deal. Alexa needs to be plugged in and conected to a wifi network to function as alexa! If no wifi it acts as a bluetooth speaker. The sound qualitu is pretty good other than alexa being alexa isnt as much fun as you think it is :)
249,"Really a good product....I have attached my light, tv and speakers with it.....it works whenever I want to open or close anything just say to it ...... Now I don't have to search anything on youtube just say that song to alexa and it plays..... really happy with this product. Just one thing it doesn't work on battery. It should have battery support as well."
250,"My mother really likes it for me... the voice recognition needs optimization! i call japanese artist clearly but alexa who needs better hearing will play some trendy hindi songs instead, sometimes destroys the moodAll in all great but I prefer normal bluetooth speaker and control it from my phone no jhanjhat no disappointment."
251,"Like you Alexa...nice user friendly,obeying n orders regarding playing music n if we appreciate it is saying thanks if we scold Alexa it is calm not saying anything...hahah... enjoying AI...Alexa babyCons:Alexa is not  saying hi to my baby...I mean it won't repeat what we said...it only plays music..."
252,Voice recognition is very bad and does not recognise the words for at least 50% of the time. Integration is good.. does not cause any problems while integrating. Half of the time very popular songs also are not recognised by Alexa. No settings to store the language preferences. All the time you have to choose which language you want to hear the songs
253,"Excellent product. It needs to be plugged in all the time, no battery which for such a little guy is strange. Having said that, it is pretty amazing sound for a tiny speaker. It also has a headphone jack..."
254,Alexa is unable to identify songs placed to it and most of the time get a negative response of unavailability of our request. Seems to be a waste product for me.Looking for a replacement of this device which seems to have an access to limited resource.Sound of Alexa needs improvisation.
255,UPDATE- GOT MY ALEXA REPLACED BY AMAZON.(Mic works fine now)THE NRW ONE WORKS FINE. BUT THE SOUND QUALITY LEAVES ROOM FOR IMPROVEMENT. Mic isn't proper. Please return this product.It feels like there is a problem with my device only.It cannot her me at 1st or 2nd time. after I speak the wake work multiple times then it hears.
256,The sound quality is good at low volume but when you increase the volume it get distorted sound gets really hursh. Low end gets compressed. They need to improve the sound dude surely not for audio enthusiasm but for daily tasks. Got it at just 2k including smart LED I think it gets its value. Bluetooth connection is poor. I don't if i like it or not.
257,I order on 25june really amazing I got in today morning 27june. Really in good packej  sounds really good she really understands  in simple Indian language.You also Mike off non of your family members disturb you.Sounds 5 starQuality  5 starPackage  5 starCustomer service also support good 5 star.
258,"Had problem for 1st time in connectivity but once it is connected it gets auto connected. Sound Quality could have been more good, it has great sound but the bass is not up to the mark. U are given a rubber base so that it doesn't vibrate much. Alexa can hear and recognise my voice very easily Its friendly n Hindi is enabled. There are lots of things u can try. Jokes , News , Music are very easy to listen..Just Say ""Alexa..."".I am SATISFIED WITH THIS PRODUCT!!I got it for 1999/- with Wipro Bulb in offer."
259,"It looks like a best friend to understand my requirements. Any sort of songs, bhajan, news can be played at one go. The sound quality is just awesome, can't expect better than this. I have seen a couple of bad feedback recognition voice & their requirement but don't agree to it since we have to call & give clarity to Alexa to understand our choice. Alexa can even operate my firestick tv & can play anything that I want."
260,Product is just stunning...... Amazon did a great job to make this smart speaker affordable in this festive season..... Quality is just superb..... Sound quality is like home theatre.....mic quality is excellent...... catches voice form far distance... Lovely product.......And one more thing what to say about Alexa.... She's very friendly 😂😂😂😂and smart she gives answers in a very funny way.... whether you ask questions in Hindi 😂😂😂....Love this product ❤️❤️❤️❤️
261,Awesome😍😍😍😍 This is my 1st Alexa echo dot I was very excited to open it ...it was a dream come true awesome experience sound quality n voice recognition is very good love u Alexa.....
262,This is my second alexa device. This is one of the best device for smart home for such a affordable price as 2000 Rs along with wipro smart light. Must buy. No cons except a few more advancements in the software which can be addressed in future.
263,"I am very happy with my new alexa echo dot device. It turned out better than i expected. The speakers on this device are great. But the only problem I have is that whenever i try to stop a playing music, news flashing, podcast midway. It doesn't stop the music. I have tired various different commands pause, stop current song, etc."
264,Awesome Device.1 Amazing Sounds Quality2 Great Performance3 Bluetooth Connectivity Fast4 Thanks a lot Amazon India5 Voice Control100% RecommendedHare Krishna
265,"Ordered during great indian sale. Upon starting,  not at all turning on. factory reset unresponsive. Rereplacement requested. will review once i received it."
266,"After quite a few months of using this, considering the amount I paid for it, I've stopped using it as a smart assistant. Coz it's dumb. Hey Alexa, here's an idea. Be better, or stop snooping around.It's good as a speaker though."
267,Sound Quality is best for its price and can be used as only speaker but that's jut 1000Rs. expensive than Mi speakers or even JBL if brand value considered.connectivity and Voice recognition is worst amongst all even including Google speakers and apple one's.e.g. try Ishare tere by Guru Randhawa on this and some similar type of songs it will either play random songs or just english one's.
268,Initially I thought it would helpful to control my redmi TV but later I came to know only mi 5x tv will support alexa. Even alexa is not finding my tv.Other than as AI it's too good .especially for kids
269,"Previously I posted 'NA' . But now I'm editing my comment that is Alexa isvone my best partner when I alone in home., Using daily since I got it. I love it😍. And one more thing I'm using its original voice instead of AmitG.She is best friend for those people who are staying alone or have limited friend circle."
270,"I have received my alexa today (27 Dec 2021), but I am unable to set my echo dot alexa mobile application, I have contacted cust care but they said today is same problem in india wide but I am still confused if the device has malfunction or really the Amazon Alexa app facing the issue? I want reply from Amazon, thanks"
271,"Really good product to buy.there are pro & cons for everything,so this also has it as you can't use alexa without adapter, it needs continuous power supply to be active which I feel bit weird else everything is perfect ."
272,"It doesn't listen maxium times, limited to few apps and most time it goeso n to a red mode where it says wifi problem or it can't understand. So him many times sin this world I should keep saying alexa alexa... It fails to understand commands properly and this setup issue. Mmn then to connect to my cel phone Bluetooth was another saga. N now again it's not connecting.I think those who want a good speakers should go for JBL, harman or bose or other brands with just manual Bluetooth option and not waste money in this"
273,"I have tried both Google and Alexa devices. And in my opinion, I cannot guarantee the future but till now, Amazon smart devices are much better than google in daily life usage."
274,"Everything is great about the product.Sometimes it doesn't find what it can be. Overall it is a great product to keep at home.A big thanks to its Hindi version. My mom gets up early in morning and asks it to play Bhajans and it makes the morning more beautiful. No battery drainage worries and no worries of typing and finding any particular song on phone. It's simple, Just ask.I want to make sure it needs 24/7 power supply, wifi and amazon prime subscription."
275,I was debating whether to buy the Amazon Echo Dot.  I am so glad that I did.  My day is now one long musical day - also being connected to most of my equipment is a bonus.  Thanks
276,"The far field voice recognition doesn't work very well with this echo device. The Echo spot did this job much better. Audio quality is not comparable to bluetooth speakers at the same price point, however it does one thing and does that well, which is Alexa integration. It's a joy to have Alexa plan your day and remind you of things that would go on to save your life ! Thanks Alexa! Not much thanks to the audio quality :)"
277,Just awesome but one thing is missing that is google skill due to which most of the time it say I don't know in case of searching something difficult thing otherwise other features are great
278,"Good and help full device,you can only connect the internet on useing time and install the Alexa app on your mobile,it is a comment base automatically device,sound quality is verry beautiful,but you can not carry for this device because it direct charge not inbuilt battery,prise is standard.you can connect it also blutooth without internet and play all downloaded movies and song in your mobile phone."
279,Review after 3 .onths use.Must have device at home.A nice personal assistant to tell d you and entertain you with automation .Nice if you want to develop any habit  it reminds you to follow .Scheduled morning om chantings and prayers daytime songs etc so much inbuilt
280,"She listens to Vishnu Sahasranamam and Suprabhatam everyday. While cooking and doing house work, she loves that she just has to say ""Alexa, play Vishnu Sahasranamam"". Great product for ease of use and quality of voice output"
281,यह डिवाइस इतना स्मार्ट नहीं है जितनी हमने कल्पना की थी गूगल पर सब कुछ होते हुए भी यह साधारण सवालों का जवाब देती है की मुझे पता नहीं जो कि इस डिवाइस की सबसे बड़ी कमजोरी है इसके अलावा इस को कनेक्ट करने में बहुत माथापच्ची करनी पड़ती है इस डिवाइस को डायरेक्ट बिना एप के हॉटस्पॉट ब्लूटूथ से जुड़ना चाहिए जिससे इसको कनेक्ट करने में कोई परेशानी ना हो
282,Looks fine but could notConnect to you tube music .. could not play all Amazon music songs … speaker quality was fine but voice interpretation was pathetic ..
283,"Go for it guys. Integrating TV, ac and lights made things different at home. Also ask anything from nearby room also Alexa answers and play songs for my mom and news for Dad. And once you start adding new features it becomes more fun.Yes one thing you have to interact and it becomes better."
284,Mind blowing purchase......😀😀😀😀Need to improve n skills....... I am a music lover from kerala.... So try to add more tracks from regional languages........ Otherwise try to link with youtube to get full range of songs from all lqnguages.....
285,"The Amazon Echo Dot... a good product... able to understand most of the voice commands... the sound quality is good...Bought it during the Amazon sale...Was actually looking for a blue tooth speaker, when the sale came up...and saw the Dot on sale..paid 1999/- for it... Working fine so far... The only con is, works only when plugged into a power outlet and there is no battery backup..."
286,"About voice recognition , Alexa integration I would say, it is fine but as compared to bose this echo dot lags behind but over all this is not bad at this budget price. What One thing I want to point out is, it cannot recognise if it is requested to play a particular song or album unlike Amazon music app. This lacking has to be resolved. So I am giving 4 star."
287,"The media could not be loaded.
                



 Like every thing about it, make your home smart, and buy it on Amazon sale, the real prize on Amazon is 3600 rupee  with smart bulb, but I buy it for 2500 rupee with smart bulb 💡"
288,"This is a very good product that amazon has come up with. Hats off to them. It is fun talking to alexa. Alexa provides us our day to day information. Though a few upgradations are also required for alexa software.There is just one drawback of this product that in sound quality, there is improper balance between bass and treble. Bass is a lot more as compared to treble so speech clarity decreases with decrease in treble.I hope upcoming echo gen are made keeping everything in mind."
289,"You whisper it whisper backs and the sound quality is just incredible and gets really really loud and voice recognition is best there is better than siri but can improve.and the amount of things you can do with it is incredible. Morning routine,evening routine,alarms,reminders, just seamless. All this provided you have stable wifi."
290,"I have been using Echo Plus (1st Gen) since launch and wanted one more so got this one. I have Google Home too but it is not as good as Alexa.  99.9 % Alexa recognises my speed voice and 100% of my family members to control Smart Lights , Fire Stick and into. Planning to get Echo Show as well."
291,"The sound quality is decent not too loud or low. The voice recognition ability of this device is 80 %. Whatever we want to get it hear from this device like any music or song, we have to repeat many times to get correct song. I think there is need to get improvement."
292,I got it during the time of sale. I have used google mini after using google I thought to upgrade it and check how is Alexa. It is good as well as bad from from google in different term. Alexa has better far field recognition but I think in order to save money amazon have made some cut offs  from Alexa 2nd generation. It literally understand what we say 6 times out of 10 times.Well its a overall good package for it's price range.Sound is awesome 10/10.
293,"The media could not be loaded.
                



 What the hell is going onSelling duplicate productNow also Amazon is trying this cheap taticsWasted my time"
294,"Nice speaker. Voice recognition is fine. It keeps us busy.sound quality is marvellous. Only problem I get that after power failure this device take long time to reconnect with the wifi. More over, wifi changing process is a bit difficult."
295,"It is unable to find things from Google even it can't find songs or stories from Google. It only works when i connect it with Spotify aap. Then what is the use of this alexa. Spotify and other aaps are in my ph, then why i need to buy this alexa. It never work with Google. It never search things by own with the help of Google. It needs aap like Spotify and other aaps."
296,Its not good as compared to older versions..I own the first version of it and it was awesome in taking commands and can recognise my voice from far like a charm.. But this one many a times don't recognise my voice even if i am sitting next to it.. Not happy.. This device have other flaws also.. Like while playing next song..it actually doesn't stop the song playing for like 2 seconds..
297,"Alexa Pairs easily, acts as a nice bluetooth speaker. Sound is awesome specially bass. I owe a 2nd gen echo amd take my word 3rd gen echo is n times better than last in sound quality. Worthy successor.Special thanks to Amazon for quick replacement of my echo device.Only thorn in the foot is software. Sometimes fail to search desired music."
298,Nice product to have especially when it comes with a deal. A good time pass and although it might have many other features I liked it for songs and lighting smart bulbs😜Sound tends to get distorted at max volumeIntegration is easyCan be more user friendly and Hindi commands should be increased.Voice recognition excellentOverall a nice productPurchase if you get a deal😛
299,Please don't purchase it shows you are not eligible to purchase amit ji voice due to geographical restrictions.
300,"Alexa is one step to get information of whatever you want. Its voice recognition is also good, can go sometimes confused. The problem I have is, its not wireless, it has to be continously plugged in at a corner. Plus there are few features which needs upgradation, for eg maths calculation. Some math calculations alexa couldn't do. Overall satisfied with the product"
301,Echod dot is an excellent smart speaker which feels very useful. Got it for 2299 with wipro smartbulb in prime day sale and its a good deal. Voice recognition is good enough and speaker sound quality is as good as can be expected at this size.. over-all a high quality product from amazon
302,"Bought it October 2021(sales at 2000 ish with wipro bulb) and stopped working may 2022 , tried to claim warranty but had issues due to technical issues. I was told to order a new one ( at 3400 and refund of older order will be made) technically loosing me money , which would be credited to amazon pay.Very scummy move.Not recommended"
303,"I use Alexa primarily to play songs in the living room, and the speakers are able to cover the entire area. Other than that, I don’t own smart appliances hence unable to use Alexa to it’s full potential."
304,"Yes, in just 9 months, the speakers are crackling. I have placed a complaint and it will be replaced. But now I am very doubtful about the quality. If it happens again after 8-9 months, there will not be warranty to cover it.And Alexa App is the worst app on my iPhone.Looks like it is designed by developers with 0 UX knowledge and it is very buggy"
305,Given 4 based in below initial points:Package doesnt have air packets where expecting proper packageIt says 4th generation but still not having aux cable  charging optionPros:Sound clarity really good(go for it if you are music lover)Almost recognise all voices
306,It's very good device for prime music 🎶. I am using it with My Harmon Kardon 5.1 system. Good and reliable smart music device. I am satisfied with it
307,"My day start with this device I bought it 3 months ago.I really love this product.This product really amazing and the way controls wireless thing surprising.Everything working perfectFew things has to be developed.Few old songs won’t be recognised, I request please focused on this."
308,Nice but not user Friendly
309,After using it nearly for 2 years.. i feel it's one my families best companion. Everyone repeatedly call her .. thanks for this good product.
310,"Best 👍💯 AI ever used!Sound quality is damn cool!I order alexa from my hall to bedroom yet she listen (don't judge I have big area)Most favorite part is, before ordering it my mom  thought it's waste of money and now she talk with her more than she talks with me.I ordered alexa in diwali sale, I received it along with smart wifi bulb 💡 which makes it more interesting. Now I am looking to buy more smart stuff to connect with alexa."
311,"I have been using this product for 3 days now and this is the best smart Bluetooth speaker i have ever come across. The only con i and most people would feel that it has to be plugged in all the time for the use, probably in the future it will come with a chargable battery. Looking forward for that."
312,I dislike due to there is no Marathi language so add it marathi also while seeking in Maharashtra so add it
313,"Wow 😲 its very good product you must buy it and the voice is wonderful its very loud and alexa microphones are very good it can recognise the voice from too far and it can do whispering we can control our smart TV,ac,bulb but it is not a good deal to buy alexa with bulb because you can't see guarantee in another deal this deal is good for"
314,"Good product superficiallly if you expect to work as youtube or google you will be disappointed but yea ask time, reminder alarm news few popular songs its ok....had it worked as google or youtube man I would have given it a 5 star"
315,"It would be great if it can communicate using other Asian and European languages.Sometimes when I ask to play music, it will start all over from the radio DJ comments. And keeps playing the same music.Doesn't know much about books in other language. I thought it can help me with my studies of other languages such as German and asked to read me a German book, but it doesn't know it.When it comes to music also it doesn't know any other language music. Need improvement in that area as well."
316,Sound bass is good but it doesn't support YouTube music and support only hungama and savvan music app by which it doesn't play all songs which we want. Google home is much better cause it support YouTube music by which we can play any song and play religious shabad bani which we need so I recommend to buy Google home.
317,One of the best product witch can you buy on Amazon. The performance of alexa is good. But I didn't get access to Amazon prime music don't know why. Songs are playing on Hungama it makes me feel like se Hungama product not amazon's. And sometimes it give you add before playing music. Music have to be played on Amazon prime which should be the first priority on this device
318,I liked the Product. But I realized after using it for a while that when i was using it initially i could see a light on device like blue orange green  in different colors for  alert reminder etc. basically would give the status. But I am unable to see that now. I tried other options in settings through App but no success. I called Customer care for replacement they mentioned I already passed the date and Can't do anything about it.
319,"Another super productive item from Amazon Alexa. I love to use it.. well connected with all my smart devices like bulbs, TV etc. Always find some fun while useing it... Best sound quality... We hope in future it may support Telugu language also... waiting for this update"
320,Main Sanjeev Kumar. main echo dot third generation + Wipro smart bulb purchase Kiya Hai. Amazon Prime dwara 1999 rupees main. 29 September ko book kiya tha aur ek October ko morning mein hi Mujhe mil gaya tha. iska sound Bada Hi Shandar hai aur Wipro bulb bhi bahut Achcha kam kar raha hai. Maine se 5 star rating Di Hai very nice product.
321,Poor finishing of the product. Not expected from Amazon. Working is normal .Not at all satisfied with the finishing...that is reason for 3-stars rating.
322,Just a decent piece. Not much appreciated. What worked perfectly is:1. How is weather2. When is sunset3.play music : mostly can't understand which music you said and will end up playing some random.4. Setup alarmsApart from that you can just use it as a speaker in a corner of your room.PS: still few features were quite good but as i said it can't understand commands at first attempt nor the second attempt. :P
323,Cheated by amazon. I had ordered this product on the prime day sale and this is what amazon does for their prime customers. I just received a box which was already opened. The alexa itself wasn't present inside the box only the charger was there inside. Worst service never expected this by amazon.
324,"Alexa can do just anything!!You can even operate echo(even book a ride) with your phone switched off ,only the WiFi needs to be on.once setup, echo is on its own....it does not need a phone ... just a WiFi connectionSet reminders, many alarms, birthday reminders,and do everything possible on this device which is just a little larger than a tennis ball."
325,"My previous one had stopped working after 6months. They replaced the item immediately.The return was done, via me buying a new device and then getting refunded for the amount"
326,"Being pioneers in home automation integrator Amazon Alexa has evolved from their experiences and creating miracles.. From ease of setting up the Devuce to integrating with multiple IFTTT devices it’s just smooth.. When it comes to music segmentation there’s no better than Alexa to match up with.. I would like to propose to Team Alexa India, to work kn bringing Indian Radio channels integration .."
327,"The media could not be loaded.
                



 Good for the price but sometimes while playing the song she doesn't responds me ......and yes those who think that there will be a Amitabh bacchan voice then the ans is no as you have to buy his voice for 99 rs/- overall it is a good product and the bulb is also good quality takes up every command😁😁"
328,"Overall it is a very good device, I started use it since 5 days only. At first it was working perfectly,but from yesterday I marked a defect that the device can't streaming audio continuously . It is working with interrupted voice......so sad. Plz suggest me how to solve it."
329,"Very Good. Kids in home liked it very much. sometimes facing issue in voice recognition. if movie name is common word in multiple languages, it is mixing the thing's up."
330,Worked on first day. Stopped to work from second day. Tried all steps in vain. Not satisfied with the product. Going to return the product
331,"Amazing product in such a price tag. I bought this in Prime Day deal so got 2 in 4k. I already have an echo device, the bigger one and these two were for my parents and in-laws, they are super happy and excited. Anyone looking to gift something nice to their near one... Got for it..."
